"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id"
"10","GO403_1265","GO403_121725","Penn Station","1725","0","92"
"10","GO403_1265","GO403_121726","Huntington","1726","0","88"
"10","GO403_1265","GO403_121727","Penn Station","1727","0","92"
"10","GO403_1265","GO403_121728","Huntington","1728","0","98"
"10","GO403_1265","GO403_121729","Penn Station","1729","0","92"
"10","GO403_1265","GO403_121730","Huntington","1730","0","88"
"10","GO403_1265","GO403_121732","Huntington","1732","0","88"
"10","GO403_1265","GO403_121734","Huntington","1734","0","88"
"10","GO403_1265","GO403_121736","Huntington","1736","0","88"
"10","GO403_1265","GO403_121738","Huntington","1738","0","88"
"10","GO403_1265","GO403_121740","Huntington","1740","0","88"
"10","GO403_1265","GO403_121742","Huntington","1742","0","88"
"10","GO403_1265","GO403_121744","Huntington","1744","0","88"
"10","GO403_1265","GO403_121746","Huntington","1746","0","88"
"10","GO403_1265","GO403_121750","Huntington","1750","0","88"
"10","GO403_1265","GO403_121752","Huntington","1752","0","88"
"10","GO403_1265","GO403_121754","Huntington","1754","0","88"
"4","GO403_1265","GO403_122000","Ronkonkoma","2000","0","99"
"4","GO403_1265","GO403_122001","Penn Station","2001","0","100"
"4","GO403_1265","GO403_122002","Ronkonkoma","2002","0","99"
"4","GO403_1265","GO403_122003","Penn Station","2003","0","100"
"4","GO403_1265","GO403_122004","Ronkonkoma","2004","0","99"
"4","GO403_1265","GO403_122005","Penn Station","2005","0","100"
"4","GO403_1265","GO403_122006","Ronkonkoma","2006","0","99"
"4","GO403_1265","GO403_122007","Penn Station","2007","0","100"
"4","GO403_1265","GO403_122008","Ronkonkoma","2008","0","99"
"4","GO403_1265","GO403_122009","Penn Station","2009","0","100"
"4","GO403_1265","GO403_122010","Ronkonkoma","2010","0","99"
"4","GO403_1265","GO403_122011","Penn Station","2011","0","100"
"4","GO403_1265","GO403_122012","Ronkonkoma","2012","0","99"
"4","GO403_1265","GO403_122013","Penn Station","2013","0","100"
"4","GO403_1265","GO403_122014","Ronkonkoma","2014","0","99"
"4","GO403_1265","GO403_122015","Penn Station","2015","0","100"
"4","GO403_1265","GO403_122016","Ronkonkoma","2016","0","99"
"4","GO403_1265","GO403_122017","Penn Station","2017","0","101"
"4","GO403_1265","GO403_122019","Atlantic Terminal","2019","0","102"
"4","GO403_1265","GO403_122021","Penn Station","2021","0","100"
"4","GO403_1265","GO403_122023","Penn Station","2023","0","100"
"4","GO403_1265","GO403_122025","Penn Station","2025","0","100"
"4","GO403_1265","GO403_122031","Atlantic Terminal","2031","0","102"
"4","GO403_1265","GO403_122033","Penn Station","2033","0","100"
"4","GO403_1265","GO403_122035","Penn Station","2035","0","100"
"4","GO403_1265","GO403_122037","Penn Station","2037","0","100"
"4","GO403_1265","GO403_122039","Penn Station","2039","0","100"
"4","GO403_1265","GO403_122041","Penn Station","2041","0","100"
"4","GO403_1265","GO403_122050","Ronkonkoma","2050","0","99"
"4","GO403_1265","GO403_122051","Penn Station","2051","0","100"
"4","GO403_1265","GO403_122052","Ronkonkoma","2052","0","99"
"4","GO403_1265","GO403_122053","Penn Station","2053","0","100"
"4","GO403_1265","GO403_122054","Ronkonkoma","2054","0","99"
"4","GO403_1265","GO403_122055","Penn Station","2055","0","100"
"4","GO403_1265","GO403_122056","Ronkonkoma","2056","0","99"
"4","GO403_1265","GO403_122057","Penn Station","2057","0","100"
"4","GO403_1265","GO403_122058","Ronkonkoma","2058","0","99"
"4","GO403_1265","GO403_122059","Penn Station","2059","0","100"
"4","GO403_1265","GO403_122060","Ronkonkoma","2060","0","99"
"4","GO403_1265","GO403_122061","Penn Station","2061","0","100"
"4","GO403_1265","GO403_122062","Ronkonkoma","2062","0","99"
"4","GO403_1265","GO403_122063","Penn Station","2063","0","100"
"4","GO403_1265","GO403_122064","Ronkonkoma","2064","0","99"
"4","GO403_1265","GO403_122065","Penn Station","2065","0","100"
"4","GO403_1265","GO403_122066","Ronkonkoma","2066","0","99"
"4","GO403_1265","GO403_122067","Penn Station","2067","0","100"
"4","GO403_1265","GO403_122068","Ronkonkoma","2068","0","103"
"4","GO403_1265","GO403_122070","Ronkonkoma","2070","0","99"
"4","GO403_1265","GO403_122071","Penn Station","2071","0","100"
"4","GO403_1265","GO403_122072","Ronkonkoma","2072","0","99"
"4","GO403_1265","GO403_122073","Penn Station","2073","0","100"
"4","GO403_1265","GO403_122076","Ronkonkoma","2076","0","104"
"4","GO403_1265","GO403_122078","Ronkonkoma","2078","0","99"
"4","GO403_1265","GO403_122080","Ronkonkoma","2080","0","99"
"4","GO403_1265","GO403_122082","Ronkonkoma","2082","0","99"
"4","GO403_1265","GO403_122084","Ronkonkoma","2084","0","99"
"4","GO403_1265","GO403_122086","Ronkonkoma","2086","0","99"
"4","GO403_1265","GO403_122088","Ronkonkoma","2088","0","99"
"4","GO403_1265","GO403_122090","Ronkonkoma","2090","0","99"
"4","GO403_1265","GO403_122092","Ronkonkoma","2092","0","99"
"4","GO403_1265","GO403_122094","Ronkonkoma","2094","0","99"
"4","GO403_1265","GO403_122096","Ronkonkoma","2096","0","104"
"4","GO403_1265","GO403_122098","Ronkonkoma","2098","0","99"
"4","GO403_1265","GO403_122099","Penn Station","2099","0","100"
"4","GO403_1265","GO403_122300","Farmingdale","2300","0","105"
"4","GO403_1265","GO403_122301","Penn Station","2301","0","106"
"4","GO403_1265","GO403_122303","Penn Station","2303","0","106"
"4","GO403_1265","GO403_122309","Penn Station","2309","0","107"
"4","GO403_1265","GO403_122350","Farmingdale","2350","0","105"
"4","GO403_1265","GO403_122351","Penn Station","2351","0","106"
"10","GO403_1265","GO403_122401","Penn Station","2401","0","108"
"10","GO403_1265","GO403_122403","Penn Station","2403","0","108"
"5","GO403_1265","GO403_122701","Babylon","2701","0","109"
"5","GO403_1265","GO403_122702","Montauk","2702","0","110"
"5","GO403_1265","GO403_122703","Long Island City","2703","0","111"
"5","GO403_1265","GO403_122704","Montauk","2704","0","112"
"5","GO403_1265","GO403_122706","Montauk","2706","0","113"
"5","GO403_1265","GO403_122707","Jamaica","2707","0","114"
"5","GO403_1265","GO403_122709","Jamaica","2709","0","115"
"5","GO403_1211","GO403_122710","Montauk","2710","0","116"
"5","GO403_1265","GO403_122711","Jamaica","2711","0","117"
"5","GO403_1265","GO403_122716","Montauk","2716","0","110"
"5","GO403_1265","GO403_122720","Montauk","2720","0","118"
"5","GO403_1265","GO403_122730","Speonk","2730","0","119"
"5","GO403_1265","GO403_122731","Babylon","2731","0","120"
"5","GO403_1265","GO403_122732","Speonk","2732","0","119"
"5","GO403_1265","GO403_122733","Penn Station","2733","0","121"
"5","GO403_1213","GO403_122734","Speonk","2734","0","122"
"5","GO403_1265","GO403_122735","Long Island City","2735","0","123"
"5","GO403_1265","GO403_122736","Speonk","2736","0","119"
"5","GO403_1265","GO403_122737","Penn Station","2737","0","124"
"5","GO403_1265","GO403_122738","Speonk","2738","0","119"
"5","GO403_1265","GO403_122739","Hunterspoint Avenue","2739","0","125"
"5","GO403_1265","GO403_122740","Speonk","2740","0","119"
"5","GO403_1265","GO403_122741","Babylon","2741","0","120"
"5","GO403_1265","GO403_122743","Jamaica","2743","0","126"
"5","GO403_1265","GO403_122745","Jamaica","2745","0","127"
"5","GO403_1265","GO403_122747","Babylon","2747","0","120"
"5","GO403_1265","GO403_122761","Babylon","2761","0","128"
"5","GO403_1265","GO403_122762","Patchogue","2762","0","129"
"5","GO403_1265","GO403_122764","Patchogue","2764","0","130"
"5","GO403_1265","GO403_122765","Babylon","2765","0","128"
"5","GO403_1265","GO403_122766","Patchogue","2766","0","131"
"5","GO403_1265","GO403_122767","Babylon","2767","0","128"
"5","GO403_1265","GO403_122768","Patchogue","2768","0","129"
"5","GO403_1265","GO403_122769","Babylon","2769","0","128"
"5","GO403_1265","GO403_122770","Patchogue","2770","0","129"
"5","GO403_1265","GO403_122771","Babylon","2771","0","128"
"5","GO403_1265","GO403_122772","Patchogue","2772","0","132"
"5","GO403_1265","GO403_122773","Babylon","2773","0","128"
"5","GO403_1265","GO403_122774","Patchogue","2774","0","129"
"5","GO403_1265","GO403_122775","Babylon","2775","0","128"
"5","GO403_1265","GO403_122777","Babylon","2777","0","128"
"5","GO403_1265","GO403_122778","Patchogue","2778","0","133"
"5","GO403_1265","GO403_122779","Babylon","2779","0","128"
"5","GO403_1265","GO403_122780","Patchogue","2780","0","129"
"7","GO403_1265","GO403_122800","Far Rockaway","2800","0","134"
"7","GO403_1265","GO403_122801","Jamaica","2801","0","135"
"7","GO403_1265","GO403_122802","Far Rockaway","2802","0","134"
"7","GO403_1265","GO403_122803","Jamaica","2803","0","135"
"7","GO403_1265","GO403_122804","Far Rockaway","2804","0","134"
"7","GO403_1265","GO403_122805","Jamaica","2805","0","135"
"7","GO403_1265","GO403_122806","Far Rockaway","2806","0","136"
"7","GO403_1265","GO403_122807","Atlantic Terminal","2807","0","137"
"7","GO403_1265","GO403_122809","Penn Station","2809","0","138"
"7","GO403_1265","GO403_122810","Far Rockaway","2810","0","136"
"7","GO403_1265","GO403_122811","Atlantic Terminal","2811","0","137"
"7","GO403_1265","GO403_122812","Far Rockaway","2812","0","136"
"7","GO403_1265","GO403_122813","Penn Station","2813","0","138"
"7","GO403_1265","GO403_122814","Far Rockaway","2814","0","136"
"7","GO403_1265","GO403_122815","Penn Station","2815","0","138"
"7","GO403_1265","GO403_122816","Far Rockaway","2816","0","136"
"7","GO403_1285","GO403_122817","Atlantic Terminal","2817","0","137"
"7","GO403_1265","GO403_122818","Far Rockaway","2818","0","136"
"7","GO403_1265","GO403_122819","Penn Station","2819","0","139"
"7","GO403_1265","GO403_122820","Far Rockaway","2820","0","136"
"7","GO403_1285","GO403_122821","Penn Station","2821","0","138"
"7","GO403_1285","GO403_122823","Penn Station","2823","0","138"
"7","GO403_1265","GO403_122825","Penn Station","2825","0","138"
"7","GO403_1265","GO403_122827","Atlantic Terminal","2827","0","137"
"7","GO403_1265","GO403_122829","Atlantic Terminal","2829","0","137"
"7","GO403_1265","GO403_122831","Atlantic Terminal","2831","0","137"
"7","GO403_1265","GO403_122833","Atlantic Terminal","2833","0","137"
"7","GO403_1265","GO403_122850","Far Rockaway","2850","0","136"
"7","GO403_1265","GO403_122851","Atlantic Terminal","2851","0","137"
"7","GO403_1265","GO403_122852","Far Rockaway","2852","0","136"
"7","GO403_1265","GO403_122853","Atlantic Terminal","2853","0","137"
"7","GO403_1265","GO403_122854","Far Rockaway","2854","0","136"
"7","GO403_1265","GO403_122855","Atlantic Terminal","2855","0","137"
"7","GO403_1265","GO403_122856","Far Rockaway","2856","0","136"
"7","GO403_1265","GO403_122857","Atlantic Terminal","2857","0","137"
"7","GO403_128","GO403_122858","Far Rockaway","2858","0","140"
"7","GO403_1265","GO403_122859","Atlantic Terminal","2859","0","137"
"7","GO403_1265","GO403_122860","Far Rockaway","2860","0","136"
"7","GO403_1265","GO403_122861","Atlantic Terminal","2861","0","137"
"7","GO403_1265","GO403_122862","Far Rockaway","2862","0","136"
"12","GO403_1265","GO403_122863","Atlantic Terminal","2863","0","141"
"7","GO403_1265","GO403_122864","Far Rockaway","2864","0","140"
"7","GO403_1265","GO403_122865","Atlantic Terminal","2865","0","137"
"7","GO403_1265","GO403_122866","Far Rockaway","2866","0","136"
"7","GO403_1265","GO403_122867","Atlantic Terminal","2867","0","137"
"7","GO403_1285","GO403_122868","Far Rockaway","2868","0","140"
"7","GO403_1265","GO403_122869","Atlantic Terminal","2869","0","137"
"7","GO403_1265","GO403_122870","Far Rockaway","2870","0","136"
"7","GO403_1265","GO403_122871","Atlantic Terminal","2871","0","137"
"7","GO403_1265","GO403_122872","Far Rockaway","2872","0","140"
"7","GO403_1265","GO403_122873","Atlantic Terminal","2873","0","137"
"7","GO403_1265","GO403_122874","Far Rockaway","2874","0","136"
"7","GO403_1265","GO403_122875","Atlantic Terminal","2875","0","137"
"7","GO403_1265","GO403_122876","Far Rockaway","2876","0","136"
"7","GO403_1265","GO403_122877","Jamaica","2877","0","135"
"7","GO403_1265","GO403_122878","Far Rockaway","2878","0","136"
"7","GO403_1265","GO403_122880","Far Rockaway","2880","0","136"
"7","GO403_1265","GO403_122882","Far Rockaway","2882","0","136"
"7","GO403_1265","GO403_122884","Far Rockaway","2884","0","136"
