"service_id","date","exception_type"
"GO403_127","20130104","1"
"GO403_127","20130111","1"
"GO403_127","20130118","1"
"GO403_127","20130125","1"
"GO403_127","20130201","1"
"GO403_127","20130208","1"
"GO403_127","20130215","1"
"GO403_127","20130222","1"
"GO403_127","20130301","1"
"GO403_128","20121121","1"
"GO403_128","20121221","1"
"GO403_128","20121224","1"
"GO403_128","20121228","1"
"GO403_128","20121231","1"
"GO403_129","20121112","1"
"GO403_129","20121113","1"
"GO403_129","20121114","1"
"GO403_129","20121115","1"
"GO403_129","20121119","1"
"GO403_129","20121120","1"
"GO403_129","20121121","1"
"GO403_129","20121126","1"
"GO403_129","20121127","1"
"GO403_129","20121128","1"
"GO403_129","20121129","1"
"GO403_129","20121203","1"
"GO403_129","20121204","1"
"GO403_129","20121205","1"
"GO403_129","20121206","1"
"GO403_129","20121210","1"
"GO403_129","20121211","1"
"GO403_129","20121212","1"
"GO403_129","20121213","1"
"GO403_129","20121217","1"
"GO403_129","20121218","1"
"GO403_129","20121219","1"
"GO403_129","20121220","1"
"GO403_129","20121224","1"
"GO403_129","20121226","1"
"GO403_129","20121227","1"
"GO403_129","20121231","1"
"GO403_129","20130102","1"
"GO403_129","20130103","1"
"GO403_129","20130107","1"
"GO403_129","20130108","1"
"GO403_129","20130109","1"
"GO403_129","20130110","1"
"GO403_129","20130114","1"
"GO403_129","20130115","1"
"GO403_129","20130116","1"
"GO403_129","20130117","1"
"GO403_129","20130122","1"
"GO403_129","20130123","1"
"GO403_129","20130124","1"
"GO403_129","20130128","1"
"GO403_129","20130129","1"
"GO403_129","20130130","1"
"GO403_129","20130131","1"
"GO403_129","20130204","1"
"GO403_129","20130205","1"
"GO403_129","20130206","1"
"GO403_129","20130207","1"
"GO403_129","20130211","1"
"GO403_129","20130212","1"
"GO403_129","20130213","1"
"GO403_129","20130214","1"
"GO403_129","20130219","1"
"GO403_129","20130220","1"
"GO403_129","20130221","1"
"GO403_129","20130225","1"
"GO403_129","20130226","1"
"GO403_129","20130227","1"
"GO403_129","20130228","1"
"GO403_1210","20121113","1"
"GO403_1210","20121114","1"
"GO403_1210","20121115","1"
"GO403_1210","20121116","1"
"GO403_1210","20121120","1"
"GO403_1210","20121121","1"
"GO403_1210","20121122","1"
"GO403_1210","20121123","1"
"GO403_1210","20121127","1"
"GO403_1210","20121128","1"
"GO403_1210","20121129","1"
"GO403_1210","20121130","1"
"GO403_1210","20121204","1"
"GO403_1210","20121205","1"
"GO403_1210","20121206","1"
"GO403_1210","20121207","1"
"GO403_1210","20121211","1"
"GO403_1210","20121212","1"
"GO403_1210","20121213","1"
"GO403_1210","20121214","1"
"GO403_1210","20121218","1"
"GO403_1210","20121219","1"
"GO403_1210","20121220","1"
"GO403_1210","20121221","1"
"GO403_1210","20121225","1"
"GO403_1210","20121226","1"
"GO403_1210","20121227","1"
"GO403_1210","20121228","1"
"GO403_1210","20130101","1"
"GO403_1210","20130102","1"
"GO403_1210","20130103","1"
"GO403_1210","20130104","1"
"GO403_1210","20130108","1"
"GO403_1210","20130109","1"
"GO403_1210","20130110","1"
"GO403_1210","20130111","1"
"GO403_1210","20130115","1"
"GO403_1210","20130116","1"
"GO403_1210","20130117","1"
"GO403_1210","20130118","1"
"GO403_1210","20130122","1"
"GO403_1210","20130123","1"
"GO403_1210","20130124","1"
"GO403_1210","20130125","1"
"GO403_1210","20130129","1"
"GO403_1210","20130130","1"
"GO403_1210","20130131","1"
"GO403_1210","20130201","1"
"GO403_1210","20130205","1"
"GO403_1210","20130206","1"
"GO403_1210","20130207","1"
"GO403_1210","20130208","1"
"GO403_1210","20130212","1"
"GO403_1210","20130213","1"
"GO403_1210","20130214","1"
"GO403_1210","20130215","1"
"GO403_1210","20130219","1"
"GO403_1210","20130220","1"
"GO403_1210","20130221","1"
"GO403_1210","20130222","1"
"GO403_1210","20130226","1"
"GO403_1210","20130227","1"
"GO403_1210","20130228","1"
"GO403_1210","20130301","1"
"GO403_1211","20121116","1"
"GO403_1211","20121121","1"
"GO403_1211","20121123","1"
"GO403_1211","20121130","1"
"GO403_1211","20121207","1"
"GO403_1211","20121214","1"
"GO403_1211","20121221","1"
"GO403_1211","20121228","1"
"GO403_1211","20130104","1"
"GO403_1211","20130111","1"
"GO403_1211","20130118","1"
"GO403_1211","20130125","1"
"GO403_1211","20130201","1"
"GO403_1211","20130208","1"
"GO403_1211","20130215","1"
"GO403_1211","20130222","1"
"GO403_1211","20130301","1"
"GO403_1212","20121112","1"
"GO403_1212","20121113","1"
"GO403_1212","20121114","1"
"GO403_1212","20121115","1"
"GO403_1212","20121116","1"
"GO403_1212","20121119","1"
"GO403_1212","20121120","1"
"GO403_1212","20121123","1"
"GO403_1212","20121126","1"
"GO403_1212","20121127","1"
"GO403_1212","20121128","1"
"GO403_1212","20121129","1"
"GO403_1212","20121130","1"
"GO403_1212","20121203","1"
"GO403_1212","20121204","1"
"GO403_1212","20121205","1"
"GO403_1212","20121206","1"
"GO403_1212","20121207","1"
"GO403_1212","20121210","1"
"GO403_1212","20121211","1"
"GO403_1212","20121212","1"
"GO403_1212","20121213","1"
"GO403_1212","20121214","1"
"GO403_1212","20121217","1"
"GO403_1212","20121218","1"
"GO403_1212","20121219","1"
"GO403_1212","20121220","1"
"GO403_1212","20121221","1"
"GO403_1212","20121226","1"
"GO403_1212","20121227","1"
"GO403_1212","20130102","1"
"GO403_1212","20130103","1"
"GO403_1212","20130104","1"
"GO403_1212","20130107","1"
"GO403_1212","20130108","1"
"GO403_1212","20130109","1"
"GO403_1212","20130110","1"
"GO403_1212","20130111","1"
"GO403_1212","20130114","1"
"GO403_1212","20130115","1"
"GO403_1212","20130116","1"
"GO403_1212","20130117","1"
"GO403_1212","20130118","1"
"GO403_1212","20130122","1"
"GO403_1212","20130123","1"
"GO403_1212","20130124","1"
"GO403_1212","20130125","1"
"GO403_1212","20130128","1"
"GO403_1212","20130129","1"
"GO403_1212","20130130","1"
"GO403_1212","20130131","1"
"GO403_1212","20130201","1"
"GO403_1212","20130204","1"
"GO403_1212","20130205","1"
"GO403_1212","20130206","1"
"GO403_1212","20130207","1"
"GO403_1212","20130208","1"
"GO403_1212","20130211","1"
"GO403_1212","20130212","1"
"GO403_1212","20130213","1"
"GO403_1212","20130214","1"
"GO403_1212","20130215","1"
"GO403_1212","20130219","1"
"GO403_1212","20130220","1"
"GO403_1212","20130221","1"
"GO403_1212","20130222","1"
"GO403_1212","20130225","1"
"GO403_1212","20130226","1"
"GO403_1212","20130227","1"
"GO403_1212","20130228","1"
"GO403_1212","20130301","1"
"GO403_1213","20121112","1"
"GO403_1213","20121113","1"
"GO403_1213","20121114","1"
"GO403_1213","20121115","1"
"GO403_1213","20121116","1"
"GO403_1213","20121119","1"
"GO403_1213","20121120","1"
"GO403_1213","20121121","1"
"GO403_1213","20121123","1"
"GO403_1213","20121126","1"
"GO403_1213","20121127","1"
"GO403_1213","20121128","1"
"GO403_1213","20121129","1"
"GO403_1213","20121130","1"
"GO403_1213","20121203","1"
"GO403_1213","20121204","1"
"GO403_1213","20121205","1"
"GO403_1213","20121206","1"
"GO403_1213","20121207","1"
"GO403_1213","20121210","1"
"GO403_1213","20121211","1"
"GO403_1213","20121212","1"
"GO403_1213","20121213","1"
"GO403_1213","20121214","1"
"GO403_1213","20121217","1"
"GO403_1213","20121218","1"
"GO403_1213","20121219","1"
"GO403_1213","20121220","1"
"GO403_1213","20121221","1"
"GO403_1213","20121224","1"
"GO403_1213","20121226","1"
"GO403_1213","20121227","1"
"GO403_1213","20121228","1"
"GO403_1213","20121231","1"
"GO403_1213","20130102","1"
"GO403_1213","20130103","1"
"GO403_1213","20130104","1"
"GO403_1213","20130107","1"
"GO403_1213","20130108","1"
"GO403_1213","20130109","1"
"GO403_1213","20130110","1"
"GO403_1213","20130111","1"
"GO403_1213","20130114","1"
"GO403_1213","20130115","1"
"GO403_1213","20130116","1"
"GO403_1213","20130117","1"
"GO403_1213","20130118","1"
"GO403_1213","20130122","1"
"GO403_1213","20130123","1"
"GO403_1213","20130124","1"
"GO403_1213","20130125","1"
"GO403_1213","20130128","1"
"GO403_1213","20130129","1"
"GO403_1213","20130130","1"
"GO403_1213","20130131","1"
"GO403_1213","20130201","1"
"GO403_1213","20130204","1"
"GO403_1213","20130205","1"
"GO403_1213","20130206","1"
"GO403_1213","20130207","1"
"GO403_1213","20130208","1"
"GO403_1213","20130211","1"
"GO403_1213","20130212","1"
"GO403_1213","20130213","1"
"GO403_1213","20130214","1"
"GO403_1213","20130215","1"
"GO403_1213","20130219","1"
"GO403_1213","20130220","1"
"GO403_1213","20130221","1"
"GO403_1213","20130222","1"
"GO403_1213","20130225","1"
"GO403_1213","20130226","1"
"GO403_1213","20130227","1"
"GO403_1213","20130228","1"
"GO403_1213","20130301","1"
"GO403_1214","20121112","1"
"GO403_1214","20121113","1"
"GO403_1214","20121114","1"
"GO403_1214","20121115","1"
"GO403_1214","20121116","1"
"GO403_1214","20121119","1"
"GO403_1214","20121120","1"
"GO403_1214","20121121","1"
"GO403_1214","20121123","1"
"GO403_1214","20121126","1"
"GO403_1214","20121127","1"
"GO403_1214","20121128","1"
"GO403_1214","20121129","1"
"GO403_1214","20121130","1"
"GO403_1214","20121203","1"
"GO403_1214","20121204","1"
"GO403_1214","20121205","1"
"GO403_1214","20121206","1"
"GO403_1214","20121207","1"
"GO403_1214","20121210","1"
"GO403_1214","20121211","1"
"GO403_1214","20121212","1"
"GO403_1214","20121213","1"
"GO403_1214","20121214","1"
"GO403_1214","20121217","1"
"GO403_1214","20121218","1"
"GO403_1214","20121219","1"
"GO403_1214","20121220","1"
"GO403_1214","20121221","1"
"GO403_1214","20121224","1"
"GO403_1214","20121226","1"
"GO403_1214","20121227","1"
"GO403_1214","20121228","1"
"GO403_1214","20121231","1"
"GO403_1214","20130102","1"
"GO403_1214","20130103","1"
"GO403_1214","20130104","1"
"GO403_1214","20130107","1"
"GO403_1214","20130108","1"
"GO403_1214","20130109","1"
"GO403_1214","20130110","1"
"GO403_1214","20130111","1"
"GO403_1214","20130114","1"
"GO403_1214","20130115","1"
"GO403_1214","20130116","1"
"GO403_1214","20130117","1"
"GO403_1214","20130118","1"
"GO403_1214","20130122","1"
