0;13893;106.0;16700.746;120.93969;
0;13836;83.0;5746.4087;88.22304;
0;13835;75.0;6586.9883;82.71459;
0;13549;688.0;27349.744;688.2557;
0;12569;162.0;8377.353;163.45576;
0;12175;281.0;155361.75;336.00763;
0;10511;81.0;23031.781;109.37311;
0;10027;184.0;9370.285;185.05243;
0;7512;80.0;1176.5999;80.140976;
0;7473;425.0;30210.844;425.4055;
0;7472;444.0;25956.924;444.3076;
0;7370;435.0;54405.47;437.79742;
0;7369;605.0;14240.458;604.9916;
0;6494;72.0;5662.783;78.72353;
1;4325;100.0;60.55592;99.99992;
1;4306;399.0;86314.95;410.9205;
2;12036;211.0;3614.9702;211.00232;
2;9911;255.0;975.76215;254.99847;
3;8334;554.0;40.10935;554.22095;
3;4995;82.0;18716.783;104.97807;
4;12302;200.0;70960.08;234.80489;
4;10772;488.0;4253.424;488.1906;
4;10463;112.0;15860.025;124.85983;
5;12300;505.0;4003.6843;504.99878;
5;10826;79.0;8115.626;88.37973;
5;10770;250.0;50131.98;264.9087;
5;10461;175.0;6978.595;175.60944;
6;8335;361.0;18154.434;361.1457;
6;4996;93.0;16887.879;111.01355;
7;12301;497.0;4668.6772;497.19586;
7;10771;531.0;1338.6732;531.2093;
7;10462;297.0;6.143412;297.1184;
8;12299;582.0;143.67622;582.2314;
8;10825;62.0;10380.616;78.85072;
8;10769;215.0;60866.477;241.10112;
8;10460;130.0;12937.843;137.10852;
9;10068;118.0;16372.521;130.30475;
9;6154;66.0;8786.752;79.190895;
9;4643;105.0;3704.2136;106.067795;
10;12298;176.0;79775.02;221.84003;
10;10824;78.0;8316.315;87.84409;
10;10768;517.0;2090.3115;516.9994;
10;10459;232.0;2090.2385;231.9997;
11;12303;567.0;462.88452;567.225;
11;10773;255.0;48565.363;268.43658;
11;10464;117.0;14973.282;127.99764;
12;12897;211.0;18448.861;214.49028;
12;12626;208.0;3723.6133;208.08635;
13;4499;178.0;552.1456;177.99963;
14;6588;57.0;11185.147;76.56543;
15;4502;66.0;9639.957;80.61195;
16;6585;152.0;1771.149;152.00116;
17;11228;140.0;13574.558;146.46248;
17;3632;132.0;64.14198;131.99997;
18;8853;308.0;2132.0679;308.12192;
18;8847;260.0;7406.963;260.02814;
18;8252;149.0;7311.071;150.38905;
18;8235;299.0;983.3999;298.9998;
18;5554;34.0;3082.6323;43.06356;
19;13937;168.0;925.5841;167.99986;
19;12293;598.0;1.141091;597.9999;
19;10819;83.0;7687.915;91.03216;
19;10763;374.0;19794.66;374.16074;
19;10454;186.0;5805.834;186.17722;
20;13935;196.0;138.91115;196.07812;
21;13936;102.0;5560.0454;104.892685;
22;13938;73.0;8711.492;84.50755;
22;12294;555.0;872.4639;554.9995;
22;10820;69.0;9424.554;82.51073;
22;10764;260.0;47120.156;272.18356;
22;10455;127.0;13448.106;135.0229;
23;5165;196.0;940.768;195.99953;
23;4853;84.0;115.09818;83.99986;
24;10943;160.0;107.12207;160.0637;
24;10300;161.0;151.6224;160.9997;
24;10245;463.0;161084.55;487.68716;
25;7649;663.0;216655.28;679.1058;
25;6120;108.0;2363.7786;108.21687;
25;4392;138.0;308.49274;137.99997;
26;10944;79.0;4135.9053;82.35104;
26;10301;104.0;2502.0874;104.37526;
26;10246;879.0;15507.909;879.3318;
27;7648;487.0;339673.12;552.7019;
27;6119;146.0;537.4462;145.99942;
27;4391;49.0;5951.3364;61.16295;
28;10945;116.0;1578.0082;116.01848;
28;10302;95.0;3196.751;96.0627;
28;10247;825.0;25763.664;825.3109;
29;7647;558.0;286752.72;599.3318;
29;6118;102.0;2728.4407;102.530754;
29;4390;89.0;2500.249;89.732994;
